	Report_title	Report_description
#9574744	Street or Sidewalk Cleaning at 550 SOUTH VAN NESS AVE	Dead cat
#9574587	Encampment at Intersection of 15th St & Alabama St	New tent and cart
#9574586	Street or Sidewalk Cleaning at 401 CHINA BASIN ST	
#9526818	Encampment at 1690 Van Ness Ave Nob Hill	Encampment with trash, drug use items, bedding, human waste
#9574790	Encampment at 424 JONES ST	Tent blocking sidewalk
#9574273	Street or Sidewalk Cleaning at Intersection of Pacific Ave & Hyde St	Mote of my neighbors' garbage!
#9574381	Street or Sidewalk Cleaning at Intersection of Geneva Ave & Prague St	
#9574270	Street or Sidewalk Cleaning at 2812 36TH AVE	Grill and chandelier on median sidewalk
#9574549	Street or Sidewalk Cleaning at 995 MARKET ST	LROF-Market st in front of WeWork-City garbage can overflowing
#9574375	Street or Sidewalk Cleaning at 1512 GENEVA AVE	
#9574181	Street or Sidewalk Cleaning at 1303 EDDY ST	2 appliances washer dryer
#9574183	Street or Sidewalk Cleaning at Intersection of Albion St & Camp St	Garbage on both sides of the streer
#9574408	Street or Sidewalk Cleaning at Intersection of Geneva Ave & Vienna St	
#9574565	Encampment at 900 COLUMBUS AVE	Homeless person has been camping out here for over 2 weeks. This morning he was peeing naked. Please remove, thank you!
#9557813	Encampment at 1760 VAN NESS AVE	
#9574562	Street or Sidewalk Cleaning at 369 12TH ST	There is a used needle that is on the sidewalk on 12th Street
#9574648	Garbage Containers at 1837 OAK ST	Garbage cans left out 24/7 for a few months now
#9574646	Graffiti at 1405 UTAH ST	Pole
#9574644	Garbage Containers at 600 MCALLISTER ST	Abandoned blue receptacle and trash found on Street at intersection of McAlester and Franklin Street. Please remove.
#9574642	Street or Sidewalk Cleaning at Intersection of Taylor St & The Embarcadero	PERIMETER of Shed D pier 45
#9574640	Blocked Pedestrian Walkway at 1730 NORIEGA ST	Garbage dumped outside of brewery/restaurant again.
#9574641	Flooding & Sewer Issues at Intersection of Utah St & End (1400 Block Of)	Clogged with garbage
#9525854	Encampment at 341 TOWNSEND ST	Encampment with many carts, bicycles, and lots of trash. Up against the back fence of our bike shop. This is a security concern for our business.
#9574831	Street or Sidewalk Cleaning at 1095 MISSION ST	Mattress at 7th & minna bear carriage inn hotel
#9570711	Street or Sidewalk Cleaning at 1514 IRVING ST	
#9574833	Street or Sidewalk Cleaning at Intersection of Albion St & Camp St	Garbage
#9574832	Street or Sidewalk Cleaning at 577 14TH ST	Suitcase
#9574772	Street or Sidewalk Cleaning at 2425 MARKET ST	Loose trash
#9574770	Street or Sidewalk Cleaning at 1201 41ST AVE	Sweeper missed corner to driveway
#9574186	Street or Sidewalk Cleaning at 415 EDNA ST	Hot water heater and microwaves.
#9574774	Streetlight Repair at 888 Clay St	The pedestrian signs face to the wrong sides at the corner of Clay Street and Stockton Street
#9572171	Blocked Pedestrian Walkway at 1760 VAN NESS AVE	"Almost the whole sidewalk is blocked. 

Please move this debris"
#9574242	Garbage Containers at 3755 BUCHANAN ST	
#9574538	Blocked Pedestrian Walkway at Intersection of Octavia St & Chestnut St	Blocking sidewalk
#9574778	Street or Sidewalk Cleaning at 250 FRIEDELL ST	Trash cans and trash strewn about the sidewalk and road. Trash cans belong to 253 Friedell St. residents.
#9574810	Street or Sidewalk Cleaning at 640 14TH ST	
#9574247	Street or Sidewalk Cleaning at 1401 BROADWAY	Leftover garbage and drug paraphernalia on Broadway outside entrance to Helen Willis playground
#9574245	Street or Sidewalk Cleaning at 20 SENECA AVE	
#9574172	Street or Sidewalk Cleaning at 111 7TH AVE	Desk
#9574175	Street or Sidewalk Cleaning at 190 San Carlos St Mission District	Trash pile, bottles, needles
#9549183	Encampment at 1760 VAN NESS AVE	Human feces, needles. Bedding blankets vomit
#9571043	Street or Sidewalk Cleaning at Intersection of Marne Ave & Portola Dr	Please cleanup the collision aftermath debris of another auto accident in the merging lanes of Portola Dr.
#9574472	Graffiti at 750 STANYAN ST	Remove posting
#9574651	Street or Sidewalk Cleaning at 401 17TH AVE	Vomit
#9573597	Street or Sidewalk Cleaning at 152 ONONDAGA AVE	
#9574653	Blocked Driveway & Illegal Parking at 1055 GREEN ST	What looks like a surplus military vehicle is parked on the sidewalk at 1055 Green
#9574657	Street or Sidewalk Cleaning at 925 SHOTWELL ST	Mattresses at 903 Shotwell
#9574656	Street or Sidewalk Cleaning at 245 MYRTLE ST	Garbage See case #9560044 which was closed. Everything is still there but the pile has grown.
#9572969	Street or Sidewalk Cleaning at 4056 MISSION ST	Garbage on sidewalk
#9574658	Abandoned Vehicles at 798 GILMAN AVE	
#9574491	Street or Sidewalk Cleaning at 20 OFARRELL ST	Cardboard boxes
#9541395	Encampment at 101 Orange Alley	Rowdy, aggressive homeless group gathered in Orange Alley just south of 25th St.
#9574849	Street or Sidewalk Cleaning at 470 10TH ST	SECOND REQUEST: fecal matter on garage door, immediately adjacent to sidewalk, more fecal matter near second entrance to building. Please clean ASAP, health hazard!
#9574259	Street or Sidewalk Cleaning at 225 AMAZON AVE	
#9574760	Blocked Driveway & Illegal Parking at Kirkham St Sunset District SF	Kirkham and 35th ave
#9574841	Encampment at 2299 MISSION ST	Beds everywhere.  Smells horrible.  Neighborhood deserves better, Mayor Breed!
#9574006	Street or Sidewalk Cleaning at 3996 Mission St Bernal Heights	a door and bag of trash
#9574305	Street or Sidewalk Cleaning at 411 VIENNA ST	
#9574003	Street or Sidewalk Cleaning at 3697 Mission St Bernal Heights	pieces of wood from broken down furniture on the Highland Ave side of corner property
#9524219	Encampment at 826 MISSION ST	Homeless Encampment
#9574559	Street or Sidewalk Cleaning at 1390 7TH AVE	
#9574484	Street or Sidewalk Cleaning at 547 ARGUELLO BLVD	Big plastic container left on sidewalk.
#9574312	Street or Sidewalk Cleaning at 398 VIENNA ST	
#9574313	Street or Sidewalk Cleaning at 117 POST ST	Cardboard
#9574489	Street or Sidewalk Cleaning at 3 NEWELL ST	Homeless man and his things are still blocking the sidewalk in front of my house. There are children who also live on this street. My past 2 requests to remove his things has been closed but nothing has been done. Please remove his things...
#9574319	Street or Sidewalk Cleaning at Intersection of Eddy St & Buchanan St	SW corner. Bag of trash
#9574624	Street or Sidewalk Cleaning at 2500 25TH ST	
inuteago	Street or Sidewalk Cleaning at 2503 Folsom St Mission District	Needles and animal feces
#9574627	Blocked Pedestrian Walkway at 10 HEMLOCK ST	Illegal drug use loud music. Alcohol use
#9574622	Graffiti at 399 VAN NESS AVE	graffiti on sidewalk, west side of van ness between mccallister and grove.  Black spraypaint.
#9574783	Graffiti at Intersection of Randolph St & Arch St	Graffiti
#9574782	Street or Sidewalk Cleaning at 268 IVY ST	"someone's leftover bedroom. please
clean."
#9526826	Encampment at 1795 Sacramento St Polk Gulch	Encampment with trash, drug use items, bedding, human waste
#9574629	Street or Sidewalk Cleaning at 310 GRANT AVE	Multiple cardboard boxes actual address 320 grant inside Harlan Alley east
#9574420	Street or Sidewalk Cleaning at 590 8TH ST	Needles at SW corner of 8th and Brannan
#9574561	Street or Sidewalk Cleaning at 177 LILAC ST	Human waste
#9574910	Blocked Pedestrian Walkway at 2503 Folsom St Mission District	Encampment blocking sudewalk
#9574768	Street or Sidewalk Cleaning at 1943 IRVING ST	LROF-4403-City garbage can overflowing
#9574059	Street or Sidewalk Cleaning at 2701 JUDAH ST	Bed frame, loose trash, cardboard etc
#9574914	Encampment at 620 CHURCH ST	Encampment and drug use on pedestrian footpath
#9574801	Street or Sidewalk Cleaning at 1720 PACIFIC AVE	Human waste - diarrhea on building walk
#9567941	Encampment at 1760 VAN NESS AVE	"Please remove Homeless Person known as Tim and his mattress and debris.

He is known to be violent and has a police report threatening a woman in the last few weeks.

Please refer to Police Commander David Lazar concerning that incident."
#9574551	Blocked Driveway & Illegal Parking at 1401 POTRERO AVE	Multiple vheicles in red zone in front of park, blocking bike lane
#9533978	Encampment at 1447 STEVENSON ST	Encampment with a couple of tents, bikes rolling through at all hours of the night
#9574857	Street or Sidewalk Cleaning at 50 BRYANT ST	Sidewalk area at this location  - trash and other debris.
#9574856	Street or Sidewalk Cleaning at 54 WALLER ST	Items under a blanket have been put on Waller.  Please pick up.
#9574712	Damaged Public Property at 1183 POTRERO AVE	Acid tagged rear pannels
#9574713	Encampment at 499 STANYAN ST	Several bikes and trash strewn around park - Hayes/Stanyan Gate
#9574715	Curb & Sidewalk Issues at 31 GEARY ST	Sign is about to fall
#9571646	Street or Sidewalk Cleaning at 45 TURK ST	Broken glass on curb 16 Turk
#9574718	Encampment at 888 OFARRELL ST	Myrtle street between Polk and Larkin. 10 tents with homeless people.
#9574719	Graffiti at 1123 POTRERO AVE	
#9573671	Flooding & Sewer Issues at 196 Sweeny St Excelsior	I called today in afternoon regarding a recurring problem of the sewage clog causing backflow of water back into the house. Agent came around 3:30pm today. Now it’s clogged again. Please send someone again. We’ve tried to contact pge who’...
#9565393	Encampment at 77 OAKWOOD ST	
#9574226	Street or Sidewalk Cleaning at Intersection of Sacramento St & Larkin St	Nightstand needs removed at corner of Sacramento and Larkin
#9574555	Street or Sidewalk Cleaning at 37 BARTLETT ST	Box of garbage on the west side of Bartlett st.
#9574637	Street or Sidewalk Cleaning at 1405 UTAH ST	
#9574434	Street or Sidewalk Cleaning at 808 LARKIN ST	
#9574701	Garbage Containers at 1310 POTRERO AVE	
#9574705	Graffiti at 1219 POTRERO AVE	
#9574871	Street or Sidewalk Cleaning at 377 LONDON ST	
#9574320	Street or Sidewalk Cleaning at 379 VIENNA ST	
#9570720	Street or Sidewalk Cleaning at Intersection of Irving St & 16th Ave	
#9574680	Street or Sidewalk Cleaning at 1281 POTRERO AVE	
#9574803	Encampment at 950 HOWARD ST	
#9574894	Street or Sidewalk Cleaning at 235 PARIS ST	
#9574892	Blocked Driveway & Illegal Parking at 132 Mallorca Way Marina District	Truck blocking my driveway so can’t acfess
#9574698	Encampment at 535 MINNESOTA ST	
#9574752	Blocked Driveway & Illegal Parking at 2391 47th Ave Parkside	
#9574570	Street or Sidewalk Cleaning at 389 NAPLES ST	
#9574672	Street or Sidewalk Cleaning at 2745 25TH ST	
#9574586	Street or Sidewalk Cleaning at 401 CHINA BASIN ST	
#9574381	Street or Sidewalk Cleaning at Intersection of Geneva Ave & Prague St	
#9574375	Street or Sidewalk Cleaning at 1512 GENEVA AVE	
#9574408	Street or Sidewalk Cleaning at Intersection of Geneva Ave & Vienna St	
#9557813	Encampment at 1760 VAN NESS AVE	
#9570711	Street or Sidewalk Cleaning at 1514 IRVING ST	
#9574242	Garbage Containers at 3755 BUCHANAN ST	
#9574810	Street or Sidewalk Cleaning at 640 14TH ST	
#9574245	Street or Sidewalk Cleaning at 20 SENECA AVE	
#9573597	Street or Sidewalk Cleaning at 152 ONONDAGA AVE	
#9574658	Abandoned Vehicles at 798 GILMAN AVE	
#9574924	Street or Sidewalk Cleaning at 3042 ORTEGA ST	Full sized mattress
#9574923	Park Requests at 5701 Third St, San Francisco 94124, United States	"Public drinking fountain filled with vegetable matter AGAIN 
The user entered the address: 5701 Third St, San Francisco 94124, United States to see more details visit: http://seeclickfix.com/issues/4938981"
#9574305	Street or Sidewalk Cleaning at 411 VIENNA ST	
#9574559	Street or Sidewalk Cleaning at 1390 7TH AVE	
#9574312	Street or Sidewalk Cleaning at 398 VIENNA ST	
#9574624	Street or Sidewalk Cleaning at 2500 25TH ST	
#9574919	Street or Sidewalk Cleaning at Intersection of 17th St & Diamond St	Chair. An drawers
#9574259	Street or Sidewalk Cleaning at 225 AMAZON AVE	
#9574719	Graffiti at 1123 POTRERO AVE	
#9573671	Flooding & Sewer Issues at 196 Sweeny St Excelsior	I called today in afternoon regarding a recurring problem of the sewage clog causing backflow of water back into the house. Agent came around 3:30pm today. Now it’s clogged again. Please send someone again. We’ve tried to contact pge who’...
#9565393	Encampment at 77 OAKWOOD ST	
